Имя файла;Исходный путь;Конечный путь;Категория;Раздел;Подпапка;Ревизия;Тип файла;CRC;Статус
GPNG-GEP-RD-0407.792-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0142\GPNG-GEP-RD-0407.792-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.792\GPNG-GEP-RD-0407.792-000-PC-TX\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.792-000-PC-TX-DSH-001_rA-RU.docx;Ранние работы;0407.792;GPNG-GEP-RD-0407.792-000-PC-TX;A;ред.формат;f4ddad7a;duplicate
GPNG-GEP-RD-0407.792-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0142\GPNG-GEP-RD-0407.792-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.792\GPNG-GEP-RD-0407.792-000-PC-TX\Ревизии\A\пдф\GPNG-GEP-RD-0407.792-000-PC-TX-DSH-001_rA-RU.pdf;Ранние работы;0407.792;GPNG-GEP-RD-0407.792-000-PC-TX;A;пдф;96b40511;duplicate
GPNG-GEP-RD-0407.791-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0143\GPNG-GEP-RD-0407.791-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.791\GPNG-GEP-RD-0407.791-000-PC-TX\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.791-000-PC-TX-DSH-001_rA-RU.docx;Ранние работы;0407.791;GPNG-GEP-RD-0407.791-000-PC-TX;A;ред.формат;617db64a;duplicate
GPNG-GEP-RD-0407.791-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0143\GPNG-GEP-RD-0407.791-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.791\GPNG-GEP-RD-0407.791-000-PC-TX\Ревизии\A\пдф\GPNG-GEP-RD-0407.791-000-PC-TX-DSH-001_rA-RU.pdf;Ранние работы;0407.791;GPNG-GEP-RD-0407.791-000-PC-TX;A;пдф;c20d40e4;duplicate
GPNG-GEP-RD-0407.000-000-PM-MDR-001_r00_RU.xlsx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0144\GPNG-GEP-RD-0407.000-000-PM-MDR-001_r00_RU.xlsx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-PM-MDR\Ревизии\00\ред.формат\GPNG-GEP-RD-0407.000-000-PM-MDR-001_r00_RU.xlsx;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-PM-MDR;00;ред.формат;5b6b9b7f;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-BOQ-001_rA_RU.xlsm;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-BOQ-001_rA_RU.xlsm;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-BOQ-001_rA_RU.xlsm;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;6674fa8b;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-CD-001_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-CD-001_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-CD-001_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;6c00a6a2;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-002_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-002_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-002_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;3d56241f;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-003_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-003_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-003_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;c579a3dd;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-004_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-004_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-004_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;ae555fac;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-005_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-005_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-005_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;e5d7b94b;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-006_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-006_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-006_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;d6104469;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-007_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-007_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-007_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;864a28ac;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-008_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-008_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-008_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;4ee9c9a7;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-009_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-009_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-009_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;c9511bad;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-010_rA_RU.dwg;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-010_rA_RU.dwg;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-DWG-010_rA_RU.dwg;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;e7780ceb;duplicate
GPNG-GEP-RD-0407.001-001-SS-KM1-SPE-001_rA_RU.DWG;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0145\GPNG-GEP-RD-0407.001-001-SS-KM1-SPE-001_rA_RU.DWG;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-SS-KM1\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.001-001-SS-KM1-SPE-001_rA_RU.DWG;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-SS-KM1;A;ред.формат;aecbbc0a;duplicate
GPNG-GEP-RD-0407.000-000-IF-GT0-BOQ-001_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0-BOQ-001_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0-BOQ-001_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;5bf6b91b;duplicate
